Agency,Platform,Url,Date_Sampled,Likes_Followers_Visits_Downloads
DOT,Tumblr,http://thedailypothole.tumblr.com,2011-08-08,293
EDC,Tumblr,http://nycedc.tumblr.com/,2011-08-08,819
HRA,Tumblr,http://nycdads.tumblr.com,2011-08-08,
OEM,Newsletter,,2012-01-20,
NYC & Co,Tumblr,nycgo.tumblr.com,2011-08-08,
NYC Digital,Tumblr,madeinny.tumblr.com,2011-08-08,
NYC Digital,Tumblr,http://nycopendata.tumblr.com,2011-08-08,
NYC Gov,Tumblr,nycgov.tumblr.com,2011-08-08,
OEM,Tumblr,http://nyccitizencorpscouncil.tumblr.com/,2011-08-08,
OMB,Tumblr,http://nycarra.tumblr.com,2011-08-08,
TLC,Tumblr,http://nyctlc.tumblr.com/,2011-08-08,
OEM,Tumblr,http://oempublicprivate.tumblr.com/,2011-08-08,
DOITT,Tumblr,http://nycdoitt.tumblr.com/,2011-08-08,
Young Mens Initiative,Tumblr,http://nycyoungmen.tumblr.com,2011-08-08,
FDNY,Tumblr,http://fdny.tumblr.com/,2011-08-08,
SBS,Tumblr,http://nycheighborhoods.tumblr.com,2011-08-08,
NYCDCAS,Twitter,http://twitter.com/NYCDCAS,2011-08-08,1
SBS,Twitter,https://twitter.com/NYCWorkforce1,2011-08-08,23
City Store,Twitter,http://twitter.com/citystorenyc,2011-08-08,38
LPC,Twitter,https://twitter.com/NYCLPC,2011-08-08,27
DOE,Twitter,http://twitter.com/alumny,2011-08-08,87
OEM,Twitter,http://twitter.com/NYCOEM,2011-08-08,109
NYC & Co,Twitter,http://twitter.com/nycgoshop,2011-08-08,53
LMEC,Twitter,http://twitter.com/nyclmew,2011-08-08,78
DPR,Twitter,http://www.twitter.com/Pearl_Squirrel,2011-08-08,140
HRA,Twitter,http://twitter.com/nychra,2011-08-08,122
NYC Digital,Twitter,http://twitter.com/nycdigital,2011-08-08,87
energyNYC,Twitter,http://twitter.com/energy_nyc,2011-08-08,144
DFTA,Twitter,http://twitter.com/NYCaging,2011-08-08,123
DOE,Twitter,http://twitter.com/TheFundforPS,2011-08-08,212
MOPD,Twitter,http://twitter.com/nyc_mopd,2011-08-08,152
NYCCFB,Twitter,http://twitter.com/NYCCFB,2011-08-08,267
EDC,Twitter,http://twitter.com/AppSciNYC,2011-08-08,188
DOB: Cool Roofs,Twitter,http://twitter.com/nycCoolRoofs,2011-08-08,270
DOE,Twitter,http://twitter.com/nyctf,2011-08-08,380
DOT,Twitter,http://www.Twitter.com/YouTheManNYC,2011-08-08,440
City Charter,Twitter,http://twitter.com/CityCharterNYC,2011-08-08,468
DFTA,Twitter,http://www.twitter.com/timebanksnyc,2011-08-08,577
SBS,Twitter,http://www.twitter.com/NYCBusSolutions,2011-08-08,640
MOME,Twitter,http://www.twitter.com/madeinny,2011-08-08,804
GreeNYC,Twitter,http://www.twitter.com/Birdie_NYC,2011-08-08,817
DOI,Twitter,http://twitter.com/DOINews,2011-08-08,947
DCA,Twitter,http://twitter.com/nycdca,2011-08-08,906
DOE,Twitter,http://twitter.com/iteachnyc,2011-08-08,1151
CAU,Twitter,www.twitter.com/mayorscau,2011-08-08,969
HHC,Twitter,http://twitter.com/HHCnyc,2011-08-08,1064
MOIA,Twitter,https://twitter.com/NYCimmigrants,2011-08-08,1167
SBS,Twitter,http://www.twitter.com/NYCBusinessExp,2011-08-08,1698
DEP,Twitter,http://twitter.com/nycwater,2011-08-08,1497
DOITT,Twitter,http://twitter.com/nycdoitt,2011-08-08,1651
PlaNYC,Twitter,http://twitter.com/PlaNYC,2011-08-08,1650
